Megrendelesszam,Profit osszesen,Levont kotber,Munka megkezdese,Keszre jelentes ideje,Megrendeles eredeti hatarideje
MEGR010,191700,0,2020.07.20 06:00,2020.07.21 08:38,2020.07.26 12:00
MEGR004,1200000,0,2020.07.20 08:18,2020.07.29 14:08,2020.07.30 08:00
MEGR015,3000000,200000,2020.07.21 14:32,2020.08.06 10:58,2020.08.05 12:45
MEGR003,600000,480000,2020.07.22 15:16,2020.08.08 10:13,2020.07.23 14:00
MEGR008,1302000,180000,2020.07.22 19:22,2020.08.10 13:08,2020.08.05 10:00
MEGR006,1080000,425000,2020.07.23 09:12,2020.08.14 09:23,2020.07.28 12:00
MEGR009,200000,0,2020.07.23 19:12,2020.08.14 16:03,2020.08.15 18:00
MEGR002,4200000,1700000,2020.07.23 20:22,2020.08.24 16:03,2020.07.22 08:00
MEGR014,6400000,930000,2020.07.25 15:02,2020.08.31 10:30,2020.07.31 16:00
MEGR013,2575000,1482000,2020.07.26 16:45,2020.09.08 20:03,2020.08.01 12:00
MEGR001,1500000,1100000,2020.07.28 07:40,2020.09.14 07:10,2020.07.21 13:00
MEGR007,8711000,2135000,2020.07.28 21:35,2020.09.28 17:20,2020.07.30 14:00
MEGR012,6277500,3465000,2020.07.31 12:35,2020.10.30 11:38,2020.08.15 10:10
MEGR011,12000000,4200000,2020.08.04 16:05,2020.12.16 09:38,2020.07.30 08:00
MEGR005,6000000,1680000,2020.08.10 20:05,2021.01.08 16:38,2020.07.25 16:00
